Entidad;Erakundea;Calle;Código Postal;Población;Geo;Revisión;Teléfono;Web;Otros
Departamento de Medio Ambiente, Planificación Territorial y Vivienda;Ingurumen, Lurralde Plangintza eta Etxebizitza Saila;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-28 11:26:21 UTC;"";""
Viceconsejería de Cultura, Juventud y Deportes;Kultura, Gazteria eta Kirol Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-30 11:11:46 UTC;"";""
LANBIDE - Bilbao-San Inazio;;Cataluña, 1-3;48015;Bilbao;43.2832704005602, -2.96323603177337;2016-02-10 08:16:03 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033137
LANBIDE - Getxo;;Negubide, 1;48930;Getxo;43.3278521355314, -3.01071523300488;2016-02-10 08:17:31 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033141
LANBIDE - Santurtzi;;Murrieta, 22 - Avda. de;48980;Santurtzi;43.3282120360778, -3.03183113741014;2016-02-10 08:18:56 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033123
Ilustre Colegio de Abogados de Álava;Arabako Abokatuen Elkarte Ohoretsua;Paseo de Fray Francisco de Vitoria, 4;01007;Vitoria-Gasteiz;42.8396921, -2.6852969;2011-09-21 21:07:02 UTC;945231050;http://www.icaalava.com;fax: 945 13 23 31
Colegio Oficial de Farmacéuticos de Álava. Sede del Consejo del País Vasco;Arabako Sendagaigileen Elkargo Ofiziala. Euskal Herriko Sendagaigileen Kontseilua;General Álava, 21 -  3º;01005;Vitoria-Gasteiz;42.8450346, -2.6704322;2014-02-06 19:23:21 UTC;945230721;http://www.cofalava.org;fax: 945133642
Ayuntamiento de Amurrio;Amurrioko Udala;Plaza Juan de Urrutia, s/n.;01470;Amurrio;43.0527913, -3.0006559;2011-09-21 21:07:03 UTC;945891161;http://www.amurrio.org;fax: 945 89 16 45;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=01&mun=002&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=01002
Colegio Oficial de Psicología de Alava;Arabako Psikologia Elkargo Ofiziala;Cercas Bajas, 7 -  Pasadizo 1ª  Ofic. 16;01001;Vitoria-Gasteiz;42.8485387, -2.6722992;2014-02-06 19:51:24 UTC;945234336;http://www.cop-alava.org
Festival Internacional de Teatro de Vitoria-Gasteiz;Vitoria-Gasteiz Nazioarteko Antzerki Jaialdia;San Prudencio, 29;01005;Vitoria-Gasteiz;42.8437668067, -2.67007346211;2014-02-28 13:07:56 UTC;945161274;http://www.vitoria-gasteiz.org/teatros;fax: 945161254
Álava - Agencia de Desarrollo;Araba Garapen Agentzia;Landazuri, 15 - Bajo;01008;Vitoria-Gasteiz;42.847758, -2.6781835;2014-02-23 13:39:37 UTC;945158070;http://www.aad.es;fax: 945158071
Federación de Cajas de Ahorros Vasco-Navarras;Hego Euskal Herriko Aurrezki Kutxen Federazioa;Paseo de la Biosfera, 6;01013;Vitoria-Gasteiz;42.862156, -2.640499;2012-11-19 07:53:51 UTC;945142202;http://www.fcavn.es
Delegación del Gobierno en la Comunidad Autónoma del País Vasco;Gobernuaren Ordezkaritza Euskal Herriko Autonomia Erkidegoan;Paseo Fray Francisco Vitoria, 17;01007;Vitoria-Gasteiz;42.8386179, -2.6838939;2014-12-10 08:11:29 UTC;945759000;"";fax: 945759170;fax: 945759140
Acción Vasca de la Argentina;;Avda. Belgrano, 1144 - 2º piso;1092;Buenos Aires;-34.5314652, -58.4900858;2013-11-27 11:31:17 UTC;1143849986;""
ESK - Ezker Sindikalaren Konbergenzia;ESK - Ezker Sindikalaren Konbergenzia;General Concha, 12;48008;Bilbao;43.1516955116149, -2.60847191026896;2014-03-12 09:41:09 UTC;944101425;http://www.esk-sindikatua.org;fax: 944101438
Delegación Territorial de Vivienda de Álava;Arabako Etxebizitza Lurralde Ordezkaritza;Ramiro de Maeztu, 10 - bajo;01008;Vitoria-Gasteiz;42.847994, -2.676918;2015-05-21 11:20:48 UTC;012;http://www.etxebide.euskadi.eus
Euskalmet - Agencia Vasca de Meteorología;Euskalmet - Euskal Meteorologia agentzia;"";"";;40.463667, -3.74922;2012-02-29 09:18:39 UTC;"";http://www.euskalmet.euskadi.net
Euskal Museoa - Bilbao - Museo Vasco;Euskal Museoa - Bilbao - Museo Vasco;Plaza Unamuno, 4;48006;Bilbao;43.2581537, -2.9216175;2011-09-21 21:07:05 UTC;944155423;http://www.euskal-museoa.org;fax: 94 479 06 08
Oficina Meteorológica del Aeropuerto de Vitoria-Gasteiz/Foronda;Vitoria-Gasteiz/Foronda Aireportuko Meteorologi Bulegoa;Aeropuerto de Foronda;01196;Vitoria-Gasteiz;42.883514, -2.729923;2011-09-23 08:46:51 UTC;945281111;""
Denon Eskola;Denon Eskola;Florida, 62 A 2º;01005;Vitoria-Gasteiz;42.8424686, -2.6678961;2011-09-21 21:07:03 UTC;945256162;http://www.denoneskola.org;fax: 945257680
Alkartasuna Basque Club of Southwest Wyoming;;P.O. Box, 6167;82901;Rock Springs;41.5874644, -109.2029043;2011-11-02 11:48:57 UTC;3073628095;http://www.alkartasuna.us
AJEBASK ÁLAVA - Asociación de Jóvenes Empresarios/as de Álava;AJEBASK ARABA-Arabako Enpresari Gazteen Elkartea;Edificio Azucarera - Avda. de los Huetos, 79 - Planta Baja;01010;Vitoria-Gasteiz;42.838435378168, -2.66372972151894;2014-02-23 13:20:07 UTC;945121929/ 945121930;http://www.ajebaskalava.es;fax: 945121931
ASLE Vitoria-Gasteiz;ASLE Vitoria-Gasteiz;Pedro de Asua, 57 -  Bajo;01008;Vitoria-Gasteiz;42.8461739923, -2.69029949787;2011-09-21 21:07:04 UTC;945214125;http://www.asle.es;fax: 945214126
IKASLAN Araba - Asociación de Centros Públicos de Formación Profesional de Álava-Araba;IKASLAN Araba - Lanbide Heziketako Institutu Publikoen Elkartea;Portal de Lasarte, s/n;01007;Vitoria-Gasteiz;42.8321406, -2.6884635;2014-02-11 18:33:43 UTC;945000433;http://www.ikaslanaraba.net;fax: 945000434
Vitoria-Gasteiz Film Office;;Correría, 70;01001;Vitoria-Gasteiz;42.8487544530105, -2.67360350263402;2014-02-28 12:48:48 UTC;945162572;http://www.filmoffice.es
RSBAP - Comisión de Álava;Euskalerriaren Adiskideen Elkartea - Arabako Batzordea;Pedro de Asua, 2 - 2º;01008;Vitoria-Gasteiz;42.8508087235216, -2.68885353886166;2014-03-01 09:31:17 UTC;945147770;http://www.bascongada.org
Escuela de Hostelería de Diocesanas Mendizorrotza;Diocesanas Mendizorrotza - Ostalaritza Eskola;Plaza Amadeo García de Salazar, 2 -  Mendizorrotza;01007;Vitoria-Gasteiz;42.8379198, -2.6871081;2011-09-21 21:07:03 UTC;945010140945010144;http://www.diocesanas.org;fax: 945 01 01 49
Colegio Oficial de Decoradores/Diseñadores de Interior de Álava;Arabako Barne Dekoratzaileen/Diseinatzaileen Elkargo Ofiziala;Postas, 18 -  5º  departamento 3;01001;Vitoria-Gasteiz;42.8459961, -2.6724725;2011-09-21 21:07:03 UTC;619058944;http://www.codintearaba.org;fax: 945232291
Loe;;Ugalde, 5;01476;Respaldiza;43.0780654, -3.0429309;2011-10-27 13:19:58 UTC;946005995/ 619454430;http://www.loeline.es/ http://loeline.wordpress.com// http://loeline.wordpress.com/;facebook: http://www.facebook.com/loegrafik;twitter: http://twitter.com/twitter.com/loegrafik
Aspic (Asesores de Prensa, Imagen y Comunicación);Aspic (Asesores de Prensa, Imagen y Comunicación);José Erbina, 9 -  Behea Boulevard Dato Sur;01005;Vitoria-Gasteiz;42.841415748, -2.66997565063;2014-03-20 12:16:58 UTC;945122113;http://www.aspic-comunicacion.com;fax: 945122162
Ayuntamiento de Balmaseda;Balmasedako Udala;Plaza de San Severino, 1;48800;Balmaseda;43.1958701, -3.1929078;2011-09-21 21:07:05 UTC;946800000;http://www.balmaseda.net;fax: 946102053;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=090&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48090
LANBIDE - Mungia;;Elorduigoitia, 5;48100;Mungia;43.3552560910443, -2.84668038063863;2016-02-10 08:18:22 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033164
LANBIDE - Zarautz;;Araba, 13;20800;Zarautz;43.2812548354293, -2.17056885570322;2016-02-10 08:23:56 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 943023864
Zumaiako Kirol Portua, S.A.;Zumaiako Kirol Portua, S.A.;Adriano VI, 20 - 1º;01008;Vitoria-Gasteiz;42.8474813059607, -2.68199527228163;2016-11-29 08:26:45 UTC;945213015/ 945226934;http://www.ekpsa.com;fax: 945213686
FAPACNE - Federación Alavesa de Asociaciones de Padres de Alumnos de Centros no Estatales;FAPACNE - Federación Alavesa de Asociaciones de Padres de Alumnos de Centros no Estatales;Adriano VI, 20 -  5º Dpto. 8;01008;Vitoria-Gasteiz;42.8474989071, -2.68205416057;2014-01-28 16:47:19 UTC;945221080;"";fax: 945241466
Europa Press Euskadi;Europa Press Euskadi;Fueros - Edificio Ópera - Oficina 27;01005;Vitoria-Gasteiz;42.8436672, -2.6722992;2014-03-21 11:17:57 UTC;945137078;http://www.europapress.es/euskadi
Grafik;Grafik;Tellería, 2;01400;Laudio/Llodio;42.9771253, -2.7368806;2014-03-21 16:13:37 UTC;946726543;http://www.grafiksarea.com;fax: 946727433
Universidad de Deusto;Deustuko Unibertsitatea;Avenida de las Universidades, 24;48007;Bilbao;43.2704909194495, -2.93750940312071;2014-02-12 09:09:38 UTC;944139000;http://www.deusto.es;fax: 944456817
TOPAGUNEA - Federación de Asociaciones de Euskera;TOPAGUNEA - Euskara Elkarteen Federazioa;Landako Elkartegia, 102 Bulegoa;48200;Durango;43.145226672283, -2.60428390666253;2014-02-12 18:16:56 UTC;946215780946214115;http://www.topagunea.org;fax: 946577012
Vitoria-Gasteiz;Vitoria-Gasteiz;Domingo Martínez de Aragón, 5 - 7;01006;Vitoria-Gasteiz;42.8355156, -2.6561571;2011-06-27 10:06:35 UTC;945012500;"";fax: 945 01 26 95
Zaraobedigital;Zaraobedigital;Zumalakarregi, 64;01400;Llodio;43.1377847144181, -2.96983170605597;2012-05-11 10:10:14 UTC;946720499/ 669697369;http://www.zaraobedigital.com;fax: 946720531
Palacio de Congresos y Exposiciones Europa;Europa Biltzar Etxea;Avenida Gasteiz, 85;01009;Vitoria-Gasteiz;42.8513811, -2.6809552;2011-09-21 21:07:04 UTC;945161520;http://www.vitoria-gasteiz.org/congresos;fax: 945228009
Palacio de Villasuso;Goiuri edo Villasuso Jauregia;Plaza del Machete, s/n.;01001;Vitoria-Gasteiz;42.8472228, -2.6719954;2011-09-21 21:07:04 UTC;945161261/ 945161279;http://www.vitoria-gasteiz.org/congresos;fax: 945228009
Colegio Oficial de Ingenieros Aeronáuticos de España. Delegacion Norte.;Colegio Oficial de Ingenieros Aeronáuticos de España. Delegación Norte.;Juan de la Cierva, 1;01510;Vitoria-Gasteiz;42.9103401, -2.6660253;2011-09-21 21:07:04 UTC;945296924;http://www.ctaero.com;fax: 945 - 29 69 23
Archivo del Parlamento Vasco;Eusko Legebiltzarreko Agiritegia;Becerro de Bengoa, z/g.;01005;Vitoria-Gasteiz;42.8454202, -2.6750691;2011-09-21 21:07:04 UTC;945004000;http://www.parlamento.euskadi.net;fax: 945 13 54 06
Ayuntamiento de Lanciego;Lantziegoko Udala;Plaza de la Iglesia, 1;01308;Lanciego;42.5691552, -2.4701648;2011-09-21 21:07:04 UTC;945608041;http://www.lanciego.org;fax: 945 60 81 95;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=01&mun=032&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=01032
Ayuntamiento de Baños de Ebro/Mañueta;Mañuetako Udala;Plaza Ayuntamiento, 5;01307;Baños De Ebro;42.5301398, -2.6794888;2011-09-21 21:07:04 UTC;945609054;"";fax: 945609054;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=01&mun=011&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=01011
Ayuntamiento de Kripan;Kripango Udala;Plaza de la Barbacana, 1;01308;Kripan;42.5916252, -2.5155674;2011-09-21 21:07:04 UTC;945608108;http://www.kripan.net;fax: 945608044;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=01&mun=019&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=01019
Ayuntamiento de Iruña de Oca;Iruña Okako Udala;Parque Lehendakari J.A. Agirre, 1;01230;Iruña De Oca;42.8180312, -2.808434;2011-11-25 08:09:55 UTC;945371064;http://www.irunadeoca.eu;fax: 945371318;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=01&mun=901&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=01901
TeleVitoria;TeleVitoria;La Habana, 8;01012;Vitoria-Gasteiz;42.858865, -2.679916;2012-03-27 10:56:57 UTC;945262608;http://www.radiogorbea.com;fax: 945251758
Ayuntamiento de Lantarón;Lantarongo Udala;calle Ayuntamiento, 2;01213;Comunión;42.7156538, -2.9778673;2014-02-05 13:15:02 UTC;945332024;http://www.aytolantaron.com;fax: 945332878;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=01&mun=902&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=01902
Radio Llodio M80 Radio;Laudio Irratia M80 Radio;Polígono Industrialdea - Edificio Cerámica 3ª planta;01400;Llodio;43.1434506, -2.9579897;2013-08-19 07:54:14 UTC;946726161;http://www.radiollodio.com;fax: 946720031
Zuin;Zuin;Herriko plaza, 8;01400;Llodio;42.7625906, -2.5881242;2014-03-17 10:52:48 UTC;944034900;http://www.zuin.net;fax: 944034754
Ayuntamiento de Armiñón;Armiñongo Udala;Real, 1;01220;Armiñón;42.7237337, -2.8721375;2016-01-27 15:35:39 UTC;945365088;http://www.cuadrilladeanana.es/arminon;fax: 945365097;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=01&mun=006&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=01006
Ayuntamiento de Kuartango;Kuartangoko Udala;Zuhatzu Kuartango, 21;01430;Kuartango;42.8878287, -2.8731443;2016-01-27 15:54:44 UTC;945362600;http://www.kuartango.org;fax: 945362633;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=01&mun=020&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=01020
Ayuntamiento de Yécora;Iekorako Udala;La Iglesia, 4;01322;Yécora;42.5692762, -2.4702489;2016-01-27 16:20:33 UTC;945601255;http://www.ayuntamientodeyecora.com;fax: 945601255;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=01&mun=060&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=01060
Ayuntamiento de Zambrana;Zambranako Udala;Calle del Ayuntamiento, 2;01212;Zambrana;42.6609983, -2.8780006;2016-01-27 16:21:23 UTC;945337014;http://www.ayuntamientodezambrana.com;fax: 945337328;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=01&mun=062&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=01062
LANBIDE - Salvatierra/Agurain;;Donibane, 1;01200;Salvatierra/Agurain;42.8497202140913, -2.38879395507549;2016-02-09 15:13:37 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 945062301
LANBIDE - Vitoria-Gasteiz Txagorritxu;;Jose Atxotegi, 1;01009;Vitoria-Gasteiz;42.8544953269129, -2.68748987792478;2016-02-09 15:15:00 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 945062342
LANBIDE - Basauri-Uribarri;;Uribarri, 14;48970;Basauri;43.2390105028737, -2.88424682360044;2016-02-10 08:14:50 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033162
LANBIDE - Bilbao-Rekalde;;Jaen, s/n;48012;Bilbao;43.2528858, -2.9433822;2016-02-10 08:15:46 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033134
LANBIDE - Lasarte-Oria;;Donostia Etorbidea, 5;20160;Lasarte-Oria;43.2721007798628, -2.01872456522612;2016-02-10 08:23:01 UTC;943023815/ 945160600;http://www.lanbide.euskadi.eus
LANBIDE - Zumarraga;;Plaza Navarra, 3;20700;Zumarraga;43.0897288986909, -2.31297882930542;2016-02-10 08:24:17 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 943023848
Ayuntamiento de Forua;Foruako Udala;Elejalde auzoa, 1;48393;Forua;43.3350106, -2.6762956;2016-01-27 17:10:12 UTC;946255180/ 946255116;http://www.forua.net;fax: 946254908;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=906&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48906
NEIKER Tecnalia - Instituto Vasco de Investigación y Desarrollo Agrario;NEIKER Tecnalia - Nekazal Ikerketa eta Garapenerako Euskal Erakundea, A.B.;Granja  Modelo, Apartado 46;01192;Arkaute;42.851039, -2.6373912;2014-04-07 15:58:49 UTC;945121313;http://www.neiker.net;fax: 945281422;funciones: http://www.euskadi.net/cgi-bin_k54/ver_c?CMD=VERDOC&BASE=B03A&DOCN=000094187&CONF=/config/k54/bopv_c.cnf
AEK;AEK;"";"";;, ;2014-02-12 17:01:24 UTC;"";http://www.aek.org
UNIKO ESTUDIO CREATIVO, S.L.;;Beurko Viejo, 3 - Pab. 38, edif. Innobak!, mod. 14;48902;Barakaldo;43.3009229765263, -2.9973288728512;2012-07-11 10:14:31 UTC;946021906;http://www.uniko.com.es
Landaberri;Landaberri;"";"";;40.463667, -3.74922;2013-11-08 11:36:07 UTC;"";""
Federación Bidelagun;Bidelagun Federazioa;Nueva, 4 - Plaza;48005;Bilbao;43.2589935303935, -2.92298878087616;2014-02-03 12:23:23 UTC;"";http://www.bidelagun.org
Federación de Danzas Vascas;Euskal Dantzarien Biltzarra;"";;;, ;2011-04-26 07:13:13 UTC;"";""
Cadena 100 Bilbao;Cadena 100 Bilbao;Plaza Sagrado Corazón de Jesús, 5 -  9ª planta;48001;Bilbao;43.2637606, -2.9269593;2011-09-21 21:07:05 UTC;944414101;"";fax: 944425460
Anaitasuna Basque Club;;Alemany Boulevard, 2850;94112;San Francisco;37.712858, -122.451621;2011-11-02 12:11:01 UTC;6505875115;""
"Asociación Centro Rincón Vasco ""Euzko Txokoa""";;Dorrego, 351;8200;General Acha;43.1517292023184, -2.60842956000156;2011-11-02 12:17:30 UTC;02952416926;""
Triada Publicidad & Diseño, S.L.;Triada Publicidad & Diseño, S.L.;Ibarra, 6 -  Lonja;48901;Barakaldo;43.2985477247, -2.98451516051;2011-09-21 21:07:05 UTC;944180040;http://www.triadapublicidad.com;fax: 94 - 418 92 21
Asociación Civil Cultural Virgen del Juncal;;Avda. de la Convención, 479;"";Urubamba;, ;2011-11-02 14:39:53 UTC;084226856;""
"Asociación Centro Vasco ""Eusko Biltzar""";;Bme Mitre, 1114;7530;Coronel Pringles;, ;2011-11-02 12:42:51 UTC;02922463018;"";fax: 02922465626
Asociación Civil Centro Vasco Misiones Euskal Jatorri;;Belgrano, 1541;3300;Posadas;-27.3635586, -55.8905221;2011-11-02 13:07:50 UTC;3752423771;""
IVE - Oficina Estadística de Bilbao (Eustat);EUSTAT - Bilboko Estatistika bulegoa;Máximo Aguirre, 18 -  bis 3º;48011;Bilbao;43.263035387493, -2.93815205549134;2017-02-06 14:08:47 UTC;944031375;www.eustat.eus;fax: 944031378
LANBIDE - Errenteria;;Maurice Ravel, 14;20100;Errenteria;43.3107136219633, -1.91119480131936;2016-02-09 15:06:17 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 943023841
LANBIDE - Sestao;;Vía Galindo, 14;48910;Sestao;43.3044711444837, -2.98422406157013;2016-02-09 15:07:10 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033149
LANBIDE - Amurrio;;Armurulanda Plaza, 4;01470;Amurrio;43.0519045057993, -3.00004555870118;2016-02-09 15:07:48 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 945062391
LANBIDE - Laudio/Llodio;;Virgen del Carmen, 25;01400;Laudio/Llodio;43.1448589370294, -2.95937335239728;2016-02-09 15:10:24 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033143
LANBIDE - Oyón-Oion;;La Giralda, 1;01320;Oyón-Oion;42.5061028579034, -2.43858487787668;2016-02-09 15:10:48 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 945062231
LANBIDE - Vitoria-Gasteiz San Martín;;Pintor Clemente Arraiz, 5;01008;Vitoria-Gasteiz;42.8503007856305, -2.68603735752295;2016-02-09 15:13:54 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 945062311
LANBIDE - Barakaldo Gurutzeta;;La Paz, 14;48903;Barakaldo;43.2805818081223, -2.98674354234396;2016-02-10 08:13:40 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033146
LANBIDE - Basauri-Urbi;;Urbi, 5;48970;Basauri;43.2360776392941, -2.87901374579771;2016-02-10 08:14:22 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033129
LANBIDE - Bilbao-Mazarredo;;Mazarredo, 39;48009;Bilbao;43.2672870368893, -2.93084140170955;2016-02-10 08:15:26 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033126
LANBIDE - Bilbao-Santutxu;;Santutxu, s/n (frente al 49);48004;Bilbao;43.2555238, -2.9130962;2016-02-10 08:16:25 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944985767
LANBIDE - Durango;;Zubiaurre, 10;48215;Durango;43.1631082, -2.6296393;2016-02-10 08:16:41 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033155
LANBIDE - Erandio;;Educador Hno. Benjamin, 5;48950;Erandio;43.3043990942408, -2.97141544137534;2016-02-10 08:16:56 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033132
LANBIDE - Portugalete;;Miguel de Unamuno, 37 - 39;48920;Portugalete;43.3144842417154, -3.02261253370218;2016-02-10 08:18:38 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033121
LANBIDE - Zalla;;Plaza Euskadi, 9;48860;Zalla;43.2145233175013, -3.13210255106157;2016-02-10 08:19:16 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033159
LANBIDE - Arrasate-Mondragón;;Nafarroa, 12;20500;Arrasate/Mondragón;43.0636545158252, -2.48357330866235;2016-02-10 08:19:39 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 943023859
LANBIDE - Azpeitia;;Urola, 6;20730;Azpeitia;43.1870351530402, -2.26142782060853;2016-02-10 08:20:04 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 943023821
LANBIDE - Beasain;;Gipuzkoa, 1 (Edif. Urbieta);20200;Beasain;43.0477886386499, -2.19173660361144;2016-02-10 08:20:25 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 943023856
LANBIDE - Eibar;;Bittor Sarasketa, 9;20600;Eibar;43.1866179886371, -2.4642838992289;2016-02-10 08:21:12 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 943023803
LANBIDE - Elgoibar;;Gabriel Krutzelaegi, 8;20870;Elgoibar;43.217262869359, -2.40881029565293;2016-02-10 08:21:28 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 943023846
LANBIDE - Irun-Antzaran;;Anzaran, 15;20301;Irun;43.344213105233, -1.79802092849831;2016-02-10 08:22:20 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 943023813
LANBIDE - Irun-San Miguel;;Basurko, s/n (Bº San Miguel);20300;Irun;, ;2016-02-10 08:22:41 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 943023811
LANBIDE - Lasarte-Oria Loiola;;Iñigo de Loyola, 6;20160;Lasarte-Oria;43.2708785200012, -2.02164422822333;2016-02-10 08:23:21 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 943023806
LANBIDE - Tolosa;;Larramendi, 3 - B;20400;Tolosa;43.1422121342721, -2.07136399869158;2016-02-10 08:23:39 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 943023843
Diputación Foral de Bizkaia;Bizkaiko Foru Aldundia;Gran Vía, 25;48009;Bilbao;43.2621586965413, -2.93201360534932;2012-03-21 10:56:49 UTC;944068000;http://www.bizkaia.net
Delegación Territorial de Educación de Bizkaia;Bizkaiko Hezkuntza Lurralde Ordezkaritza;Gran Vía, 85;48011;Bilbao;43.2648961, -2.9439071;2013-03-20 18:18:42 UTC;944031069;"";fax: 944031163
Delegación Territorial de Educación de Gipuzkoa;Gipuzkoako Hezkuntza Lurralde Ordezkaritza;Andia;20004;Donostia/San Sebastián;43.3204254930439, -1.98244210249217;2013-03-20 18:19:09 UTC;943022850/ 943022910;"";fax: 943022851
GAIKER- IK4 ;GAIKER-IK4;Parque Tecnológico, 202;48170;Zamudio;43.2927963963593, -2.86127188807164;2014-04-07 14:53:20 UTC;946002323;http://www.gaiker.es;fax: 946002324
Audiencia Provincial de Gipuzkoa;Gipuzkoako Probintzi Auzitegia;San Martín, 41;20007;Donostia-San Sebastián;43.316317, -1.9848156;2013-08-07 07:15:55 UTC;943000711;"";fax: 943000701
UEU - Universidad Vasca de Verano;UEU - Udako Euskal Unibertsitatea;Ribera, 14 -  1º D;48005;Bilbao;43.2576956802, -2.92630764795;2011-09-21 21:07:05 UTC;946790546;http://www.ueu.org;fax: 94 479 30 39
